DataHora,Jogador,ATT,TEC,TAC,DEF,CRE,Aba,Ano_Temporada,Competicao,Categoria,Colunas_Metricas,Valores
2026-09-15T18:16:28.033Z,João Fonseca,38,41,53,68,36,Temporada,26/27,Liga Portugal 2,Defendendo,Jogos sem sofrer gols | Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos,2 | 1.7 | 1.5 | 0.0 | 2.3 | 0.2 | 6.5 | 0.8 | 0 | 0 | 0
2026-09-15T18:16:28.166Z,João Fonseca,38,41,53,68,36,Temporada,26/27,Liga Portugal 2,Outros (por partida),Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos,0.0 | 4.7 (61%) | 2.0 (60%) | 2.7 (62%) | 6.2 | 1.0 | 0.5 | 0.0
2026-09-15T18:16:28.254Z,João Fonseca,38,41,53,68,36,Temporada,26/27,Liga Portugal 2,Cartões,Amarelo | Vermelho (2 amarelos) | Verm.,0 | 0 | 0
2026-09-15T18:16:34.472Z,Damián Fernández,34,42,60,78,36,Temporada,2026,Liga Profesional de Fútbol,Resumo da Temporada,JOGOS | MINUTOS POR JOGO | GOLS | GOLS ESPERADOS (XG) | ASSISTÊNCIAS,21 | 80 | 1 | 0.54 | 0
2026-09-15T18:16:34.533Z,Damián Fernández,34,42,60,78,36,Temporada,2026,Liga Profesional de Fútbol,Partidas,Temporada | tournaments | seasons | JOGOS | MINUTOS POR JOGO | GOLS | GOLS ESPERADOS (XG) | ASSISTÊNCIAS | Média das notas Sofascore | 9 de ago. | 23 de ago. | 6 de set. | Mapa de calor da temporada | 21 | 19 | 80 | 1673 | 1 | Distância percorrida | Número de sprints | Velocidade máxima | Atacando | 1 | 0.54 | 1673min | 0.05 | 0.2 | 0.10 | 0 | 25% | 0/0 | 0% | 0/0 | 0% | 1/3 | 0/1 | 0 | 0 | 1 | 0 | Assistências | Assistências Esperadas (xA) | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos | Defendendo | 4 | 1.2 | 2.9 | 0.10 | 4.5 | 0.5 | 6.2 | 0.6 | 1 | 0 | 0 | Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos | Cartões | 5 | 0,Carreira | Liga Profesional de Fútbol | 2026 | 21 | 80 | 1 | 0.54 | 0 | 1 de ago. | 17 de ago. | 31 de ago. | 11 de set. | Jogos | Titular | Minutos por jogo | Total de minutos jogados | Time da semana | Desempenho de corrida (por 90) | 9.5 km | 9.0 | 35.5 km/h | Gols | Gols esperados (xG) | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido | Passe | 0 | 0.13 | 62.4 | 0 | 0.2 | 38.5 (84%) | 25.9 (91%) | 12.6 (74%) | 2.5 (40%) | 1.9 (58%) | 0.0 (0%) | Jogos sem sofrer gols | Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos | Outros (por partida) | 0.2 (50%) | 5.8 (62%) | 3.4 (65%) | 2.3 (58%) | 8.8 | 0.9 | 0.3 | 0.0 | Amarelo | Vermelho (2 amarelos) | Verm.
2026-09-15T18:16:34.619Z,Damián Fernández,34,42,60,78,36,Temporada,2026,Liga Profesional de Fútbol,Desempenho de corrida (por 90),Distância percorrida | Número de sprints | Velocidade máxima,9.5 km | 9.0 | 35.5 km/h
2026-09-15T18:16:34.698Z,Damián Fernández,34,42,60,78,36,Temporada,2026,Liga Profesional de Fútbol,Atacando,Gols | Gols esperados (xG) | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido,1 | 0.54 | 1673min | 0.05 | 0.2 | 0.10 | 0 | 25% | 0/0 | 0% | 0/0 | 0% | 1/3 | 0/1 | 0 | 0 | 1 | 0
2026-09-15T18:16:34.771Z,Damián Fernández,34,42,60,78,36,Temporada,2026,Liga Profesional de Fútbol,Passe,Assistências | Assistências Esperadas (xA) | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos,0 | 0.13 | 62.4 | 0 | 0.2 | 38.5 (84%) | 25.9 (91%) | 12.6 (74%) | 2.5 (40%) | 1.9 (58%) | 0.0 (0%)
2026-09-15T18:16:34.824Z,Damián Fernández,34,42,60,78,36,Temporada,2026,Liga Profesional de Fútbol,Defendendo,Jogos sem sofrer gols | Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos,4 | 1.2 | 2.9 | 0.10 | 4.5 | 0.5 | 6.2 | 0.6 | 1 | 0 | 0
2026-09-15T18:16:34.902Z,Damián Fernández,34,42,60,78,36,Temporada,2026,Liga Profesional de Fútbol,Outros (por partida),Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos,0.2 (50%) | 5.8 (62%) | 3.4 (65%) | 2.3 (58%) | 8.8 | 0.9 | 0.3 | 0.0
2026-09-15T18:16:35.046Z,Damián Fernández,34,42,60,78,36,Temporada,2026,Liga Profesional de Fútbol,Cartões,Amarelo | Vermelho (2 amarelos) | Verm.,5 | 0 | 0
