DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T18:18:35.013Z,André Clóvis,Geral,17/18,Liga Portugal Betclic,MP | MIN | GLS | AST | ASR,1 | 9 | 0 | 0 | 6.70
2026-09-15T18:18:36.006Z,André Clóvis,Finalização,26/27,Total do Ano,MP | GLS | TOS | SOT | BCM,6 | 2 | 11 | 5 | 2
2026-09-15T18:18:36.070Z,André Clóvis,Finalização,26/27,Liga Portugal Betclic,MP | GLS | TOS | SOT | BCM,6 | 2 | 11 | 5 | 2
2026-09-15T18:18:36.118Z,André Clóvis,Finalização,25/26,Total do Ano,MP | GLS | TOS | SOT | BCM,34 | 23 | 126 | 51 | 13
2026-09-15T18:18:36.175Z,André Clóvis,Finalização,25/26,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,34 | 23 | 126 | 51 | 13
2026-09-15T18:18:36.222Z,André Clóvis,Finalização,24/25,Total do Ano,MP | GLS | TOS | SOT | BCM,32 | 7 | 72 | 24 | 8
2026-09-15T18:18:36.277Z,André Clóvis,Finalização,24/25,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,32 | 7 | 72 | 24 | 8
2026-09-15T18:18:36.329Z,André Clóvis,Finalização,23/24,Total do Ano,MP | GLS | TOS | SOT | BCM,33 | 12 | 106 | 35 | 17
2026-09-15T18:18:36.399Z,André Clóvis,Finalização,23/24,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,33 | 12 | 106 | 35 | 17
2026-09-15T18:18:36.446Z,André Clóvis,Finalização,22/23,Total do Ano,MP | GLS | TOS | SOT | BCM,4 | 3 | 14 | 7 | 1
2026-09-15T18:18:36.530Z,André Clóvis,Finalização,22/23,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,2 | 3 | 10 | 7 | 1
2026-09-15T18:18:36.577Z,André Clóvis,Finalização,22/23,Taça da Liga,MP | GLS | TOS | SOT | BCM,2 | 0 | 4 | 0 | 0
2026-09-15T18:18:36.663Z,André Clóvis,Finalização,21/22,Total do Ano,MP | GLS | TOS | SOT | BCM,23 | 1 | 22 | 6 | 3
2026-09-15T18:18:36.713Z,André Clóvis,Finalização,21/22,Liga Portugal Betclic,MP | GLS | TOS | SOT | BCM,23 | 1 | 22 | 6 | 3
2026-09-15T18:18:36.788Z,André Clóvis,Finalização,20/21,Total do Ano,MP | GLS | TOS | SOT | BCM,1 | 0 | 1 | 0 | 0
