DataHora,Jogador,ATT,TEC,TAC,DEF,CRE,Aba,Ano_Temporada,Competicao,Categoria,Colunas_Metricas,Valores
2026-09-15T14:05:27.683Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Cartões,Amarelo | Vermelho (2 amarelos) | Verm.,1 | 0 | 0
2026-09-15T14:05:32.920Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Resumo da Temporada,JOGOS | MINUTOS POR JOGO | GOLS | ASSISTÊNCIAS,3 | 10 | 0 | 0
2026-09-15T14:05:33.045Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Partidas,Temporada | tournaments | seasons | JOGOS | MINUTOS POR JOGO | GOLS | ASSISTÊNCIAS | Média das notas Sofascore | Mapa de calor da temporada | 3 | 0 | 10 | 29 | 0 | Velocidade máxima | Atacando | 0 | 0min | 0.0 | 0.3 | 0.3 | 0 | 0% | 0/0 | 0% | 0/0 | 0% | 0/1 | 0/0 | 0 | 0 | 0 | 0 | Assistências | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos | Defendendo | 0 | 0.0 | 0.3 | 0.0 | 0.7 | 0.0 | 0.3 | 0.0 | 0 | 0 | 0 | Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos | Cartões | 0 | 0,Carreira | Liga Portugal 2 | 26/27 | 3 | 10 | 0 | 0 | 29 de ago. | Jogos | Titular | Minutos por jogo | Total de minutos jogados | Time da semana | Desempenho de corrida (por 90) | 31.5 km/h | Gols | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido | Passe | 0 | 6.3 | 0 | 0.3 | 1.0 (100%) | 0.0 | 1.0 (100%) | 0.3 (100%) | 0.0 | 0.3 (33%) | Jogos sem sofrer gols | Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos | Outros (por partida) | 0.3 (100%) | 2.0 (100%) | 2.0 (100%) | 0.0 | 1.7 | 0.0 | 1.3 | 0.0 | Amarelo | Vermelho (2 amarelos) | Verm.
2026-09-15T14:05:33.229Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Desempenho de corrida (por 90),Velocidade máxima,31.5 km/h
2026-09-15T14:05:33.340Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Atacando,Gols | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido,0 | 0min | 0.0 | 0.3 | 0.3 | 0 | 0% | 0/0 | 0% | 0/0 | 0% | 0/1 | 0/0 | 0 | 0 | 0 | 0
2026-09-15T14:05:33.442Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Passe,Assistências | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos,0 | 6.3 | 0 | 0.3 | 1.0 (100%) | 0.0 | 1.0 (100%) | 0.3 (100%) | 0.0 | 0.3 (33%)
2026-09-15T14:05:33.590Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Defendendo,Jogos sem sofrer gols | Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos,0 | 0.0 | 0.3 | 0.0 | 0.7 | 0.0 | 0.3 | 0.0 | 0 | 0 | 0
2026-09-15T14:05:33.701Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Outros (por partida),Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos,0.3 (100%) | 2.0 (100%) | 2.0 (100%) | 0.0 | 1.7 | 0.0 | 1.3 | 0.0
2026-09-15T14:05:33.816Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Cartões,Amarelo | Vermelho (2 amarelos) | Verm.,0 | 0 | 0
2026-09-15T14:05:39.388Z,Renê Sousa,64,52,51,32,42,Temporada,2026,Brasileirão Betano,Resumo da Temporada,JOGOS | MINUTOS POR JOGO | GOLS | GOLS ESPERADOS (XG) | ASSISTÊNCIAS,20 | 68 | 8 | 6.78 | 1
2026-09-15T14:05:39.503Z,Renê Sousa,64,52,51,32,42,Temporada,2026,Brasileirão Betano,Partidas,Temporada | Fantasy | Brasileirão Betano | 2026 | 20 | 68 | 8 | 6.78 | 1 | 29 de jul. | 16 de ago. | 29 de ago. | 13 de set. | Jogos | Titular | Minutos por jogo | Total de minutos jogados | Time da semana | Desempenho de corrida (por 90) | 9.1 km | 15.4 | 33.9 km/h | Gols | Gols esperados (xG) | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido | Passe | 1 | 0.35 | 21.2 | 1 | 0.5 | 6.2 (71%) | 2.0 (81%) | 4.2 (67%) | 0.05 (17%) | 0.2 (43%) | 0.05 (8%) | Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos | Outros (por partida) | 0.8 (71%) | 3.7 (42%) | 2.9 (55%) | 0.9 (23%) | 7.1 | 0.8 | 1.7 | 0.2 | Amarelo | Vermelho (2 amarelos) | Verm.,Carreira | tournaments | seasons | JOGOS | MINUTOS POR JOGO | GOLS | GOLS ESPERADOS (XG) | ASSISTÊNCIAS | Média das notas Sofascore | 9 de ago. | 23 de ago. | 7 de set. | Mapa de calor da temporada | 20 | 15 | 68 | 1352 | 4 | Distância percorrida | Número de sprints | Velocidade máxima | Atacando | 8 | 6.78 | 169min | 0.4 | 2.5 | 1.3 | 7 | 16% | 0/0 | 0% | 0/0 | 0% | 6/40 | 2/10 | 3 | 2 | 3 | 0 | Assistências | Assistências Esperadas (xA) | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos | Defendendo | 0.3 | 0.5 | 0.3 | 1.3 | 0.4 | 0.3 | 0.1 | 0 | 0 | 0 | Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos | Cartões | 2 | 0 | 0
2026-09-15T14:05:39.630Z,Renê Sousa,64,52,51,32,42,Temporada,2026,Brasileirão Betano,Desempenho de corrida (por 90),Distância percorrida | Número de sprints | Velocidade máxima,9.1 km | 15.4 | 33.9 km/h
2026-09-15T14:05:39.803Z,Renê Sousa,64,52,51,32,42,Temporada,2026,Brasileirão Betano,Atacando,Gols | Gols esperados (xG) | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido,8 | 6.78 | 169min | 0.4 | 2.5 | 1.3 | 7 | 16% | 0/0 | 0% | 0/0 | 0% | 6/40 | 2/10 | 3 | 2 | 3 | 0
2026-09-15T14:05:39.961Z,Renê Sousa,64,52,51,32,42,Temporada,2026,Brasileirão Betano,Passe,Assistências | Assistências Esperadas (xA) | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos,1 | 0.35 | 21.2 | 1 | 0.5 | 6.2 (71%) | 2.0 (81%) | 4.2 (67%) | 0.05 (17%) | 0.2 (43%) | 0.05 (8%)
2026-09-15T14:05:40.065Z,Renê Sousa,64,52,51,32,42,Temporada,2026,Brasileirão Betano,Defendendo,Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos,0.3 | 0.5 | 0.3 | 1.3 | 0.4 | 0.3 | 0.1 | 0 | 0 | 0
2026-09-15T14:05:40.207Z,Renê Sousa,64,52,51,32,42,Temporada,2026,Brasileirão Betano,Outros (por partida),Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos,0.8 (71%) | 3.7 (42%) | 2.9 (55%) | 0.9 (23%) | 7.1 | 0.8 | 1.7 | 0.2
2026-09-15T14:05:40.346Z,Renê Sousa,64,52,51,32,42,Temporada,2026,Brasileirão Betano,Cartões,Amarelo | Vermelho (2 amarelos) | Verm.,2 | 0 | 0
